date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:52	17815/17815	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa7f-4597%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/practice33.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/practice33.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:53	151490/151490	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa3b-24fc2%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/section-bg1.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/section-bg1.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:54	198627/198627	---M--	200	added ('OK')	image/png	etag:%2262e8fa02-307e3%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/about3-bg.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/about3-bg.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:54	24779/24779	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa03-60cb%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/abt-img-text1.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/abt-img-text1.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:56	23072/23072	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa03-5a20%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/abt-img-text2.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/abt-img-text2.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:56	8271/8271	---M--	200	added ('OK')	image/png	etag:%2262e8fa02-204f%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/about3-author.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/about3-author.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:58	21487/21487	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa85-53ef%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/signature3.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/signature3.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:58	49123/49123	---M--	200	added ('OK')	image/png	etag:%2262e8fa1c-bfe3%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy31.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy31.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:59	1081/1081	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa82-439%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/read-more-arro.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/read-more-arro.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:00	64074/64074	---M--	200	added ('OK')	image/png	etag:%2262e8fa1c-fa4a%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy32.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy32.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
